fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
5.0;0.38;0.01;1.6;0.048;26.0;60.0;0.99084;3.7;0.75;14.0;6.0
5.1;0.47;0.02;1.3;0.034;18.0;44.0;0.9921;3.9;0.62;12.8;6.0
5.2;0.32;0.25;1.8;0.103;13.0;50.0;0.9957;3.38;0.55;9.2;5.0
5.2;0.645;0.0;2.15;0.08;15.0;28.0;0.99444;3.78;0.61;12.5;6.0
5.4;0.58;0.08;1.9;0.059;20.0;31.0;0.99484;3.5;0.64;10.2;6.0
5.5;0.49;0.03;1.8;0.044;28.0;87.0;0.9908;3.5;0.82;14.0;8.0
5.6;0.54;0.04;1.7;0.049;5.0;13.0;0.9942;3.72;0.58;11.4;5.0
5.6;0.915;0.0;2.1;0.041;17.0;78.0;0.99346;3.68;0.73;11.4;5.0
5.9;0.44;0.0;1.6;0.042;3.0;11.0;0.9944;3.48;0.85;11.7;6.0
5.9;0.46;0.0;1.9;0.077;25.0;44.0;0.99385;3.5;0.53;11.2;5.0
5.9;0.55;0.1;2.2;0.062;39.0;51.0;0.99512;3.52;0.76;11.2;6.0
5.9;0.61;0.08;2.1;0.071;16.0;24.0;0.99376;3.56;0.77;11.1;6.0
6.0;0.31;0.47;3.6;0.067;18.0;42.0;0.99549;3.39;0.66;11.0;6.0
6.0;0.5;0.0;1.4;0.057;15.0;26.0;0.99448;3.36;0.45;9.5;5.0
6.0;0.64;0.05;1.9;0.066;9.0;17.0;0.99496;3.52;0.78;10.6;5.0
6.1;0.4;0.16;1.8;0.069;11.0;25.0;0.9955;3.42;0.74;10.1;7.0
6.1;0.705;0.1;2.8;0.081;13.0;28.0;0.99631;3.6;0.66;10.2;5.0
6.3;0.47;0.0;1.4;0.055;27.0;33.0;0.9922;3.45;0.48;12.3;6.0
6.4;0.37;0.25;1.9;0.074;21.0;49.0;0.9974;3.57;0.62;9.8;6.0
6.4;0.42;0.09;2.3;0.054;34.0;64.0;0.99724;3.41;0.68;10.4;6.0
6.4;0.47;0.4;2.4;0.071;8.0;19.0;0.9963;3.56;0.73;10.6;6.0
6.4;0.53;0.09;3.9;0.123;14.0;31.0;0.9968;3.5;0.67;11.0;4.0
6.5;0.51;0.15;3.0;0.064;12.0;27.0;0.9929;3.33;0.59;12.8;6.0
6.5;0.53;0.06;2.0;0.063;29.0;44.0;0.99489;3.38;0.83;10.3;6.0
6.6;0.61;0.0;1.6;0.069;4.0;8.0;0.99396;3.33;0.37;10.4;4.0
6.6;0.705;0.07;1.6;0.076;6.0;15.0;0.9962;3.44;0.58;10.7;5.0
6.6;0.735;0.02;7.9;0.122;68.0;124.0;0.9994;3.47;0.53;9.9;5.0
6.6;0.84;0.03;2.3;0.059;32.0;48.0;0.9952;3.52;0.56;12.3;7.0
6.6;0.855;0.02;2.4;0.062;15.0;23.0;0.99627;3.54;0.6;11.0;6.0
6.7;0.48;0.08;2.1;0.064;18.0;34.0;0.99552;3.33;0.64;9.7;5.0
6.7;0.64;0.23;2.1;0.08;11.0;119.0;0.99538;3.36;0.7;10.9;5.0
6.8;0.48;0.08;1.8;0.074;40.0;64.0;0.99529;3.12;0.49;9.6;5.0
6.8;0.59;0.06;6.0;0.06;11.0;18.0;0.9962;3.41;0.59;10.8;7.0
6.8;0.63;0.07;2.1;0.089;11.0;44.0;0.9953;3.47;0.55;10.4;6.0
6.8;0.64;0.1;2.1;0.085;18.0;101.0;0.9956;3.34;0.52;10.2;5.0
6.8;0.91;0.06;2.0;0.06;4.0;11.0;0.99592;3.53;0.64;10.9;4.0
6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.99685;3.46;0.5;11.0;5.0
6.9;0.55;0.15;2.2;0.076;19.0;40.0;0.9961;3.41;0.59;10.1;5.0
6.9;0.58;0.01;1.9;0.08;40.0;54.0;0.99683;3.4;0.73;9.7;5.0
6.9;0.605;0.12;10.7;0.073;40.0;83.0;0.9993;3.45;0.52;9.4;6.0
6.9;0.63;0.02;1.9;0.078;18.0;30.0;0.99712;3.4;0.75;9.8;5.0
6.9;0.635;0.17;2.4;0.241;6.0;18.0;0.9961;3.4;0.59;10.3;6.0
7.0;0.49;0.49;5.6;0.06;26.0;121.0;0.9974;3.34;0.76;10.5;5.0
7.0;0.54;0.0;2.1;0.079;39.0;55.0;0.9956;3.39;0.84;11.4;6.0
7.0;0.54;0.09;2.0;0.081;10.0;16.0;0.99479;3.43;0.59;11.5;6.0
7.0;0.57;0.0;2.0;0.19;12.0;45.0;0.99676;3.31;0.6;9.4;6.0
7.0;0.58;0.12;1.9;0.091;34.0;124.0;0.9956;3.44;0.48;10.5;5.0
7.0;0.655;0.16;2.1;0.074;8.0;25.0;0.99606;3.37;0.55;9.7;5.0
7.0;0.685;0.0;1.9;0.099;9.0;22.0;0.99606;3.34;0.6;9.7;5.0
7.1;0.16;0.44;2.5;0.068;17.0;31.0;0.99328;3.35;0.54;12.4;6.0
7.1;0.43;0.42;5.5;0.071;28.0;128.0;0.9973;3.42;0.71;10.5;5.0
7.1;0.46;0.14;2.8;0.076;15.0;37.0;0.99624;3.36;0.49;10.7;5.0
7.1;0.47;0.0;2.2;0.067;7.0;14.0;0.99517;3.4;0.58;10.9;4.0
7.1;0.59;0.01;2.3;0.08;27.0;43.0;0.9955;3.42;0.58;10.7;6.0
7.1;0.72;0.0;1.8;0.123;6.0;14.0;0.99627;3.45;0.58;9.8;5.0
7.2;0.34;0.21;2.5;0.075;41.0;68.0;0.99586;3.37;0.54;10.1;6.0
7.2;0.36;0.46;2.1;0.074;24.0;44.0;0.99534;3.4;0.85;11.0;7.0
7.2;0.49;0.18;2.7;0.069;13.0;34.0;0.9967;3.29;0.48;9.2;6.0
7.2;0.62;0.06;2.5;0.078;17.0;84.0;0.99746;3.51;0.53;9.7;5.0
7.2;0.645;0.0;1.9;0.097;15.0;39.0;0.99675;3.37;0.58;9.2;6.0
7.2;0.695;0.13;2.0;0.076;12.0;20.0;0.99546;3.29;0.54;10.1;5.0
7.2;0.695;0.13;2.0;0.076;12.0;20.0;0.99546;3.29;0.54;10.1;5.0
7.3;0.32;0.23;2.3;0.066;35.0;70.0;0.99588;3.43;0.62;10.1;5.0
7.3;0.43;0.24;2.5;0.078;27.0;67.0;0.99648;3.6;0.59;11.1;6.0
7.3;0.48;0.32;2.1;0.062;31.0;54.0;0.99728;3.3;0.65;10.0;7.0
7.3;0.55;0.01;1.8;0.093;9.0;15.0;0.99514;3.35;0.58;11.0;7.0
7.3;0.735;0.0;2.2;0.08;18.0;28.0;0.99765;3.41;0.6;9.4;5.0
7.4;0.36;0.29;2.6;0.087;26.0;72.0;0.99645;3.39;0.68;11.0;5.0
7.4;0.36;0.34;1.8;0.075;18.0;38.0;0.9933;3.38;0.88;13.6;7.0
7.4;0.47;0.46;2.2;0.114;7.0;20.0;0.99647;3.32;0.63;10.5;5.0
7.4;0.49;0.27;2.1;0.071;14.0;25.0;0.99388;3.35;0.63;12.0;6.0
7.4;0.55;0.19;1.8;0.082;15.0;34.0;0.99655;3.49;0.68;10.5;5.0
7.4;0.61;0.01;2.0;0.074;13.0;38.0;0.99748;3.48;0.65;9.8;5.0
7.4;0.64;0.17;5.4;0.168;52.0;98.0;0.99736;3.28;0.5;9.5;5.0
7.5;0.27;0.34;2.3;0.05;4.0;8.0;0.9951;3.4;0.64;11.0;7.0
7.5;0.31;0.41;2.4;0.065;34.0;60.0;0.99492;3.34;0.85;11.4;6.0
7.5;0.38;0.57;2.3;0.106;5.0;12.0;0.99605;3.36;0.55;11.4;6.0
7.5;0.42;0.32;2.7;0.067;7.0;25.0;0.99628;3.24;0.44;10.4;5.0
7.5;0.43;0.3;2.2;0.062;6.0;12.0;0.99495;3.44;0.72;11.5;7.0
7.5;0.49;0.2;2.6;0.332;8.0;14.0;0.9968;3.21;0.9;10.5;6.0
7.5;0.51;0.02;1.7;0.084;13.0;31.0;0.99538;3.36;0.54;10.5;6.0
7.5;0.51;0.02;1.7;0.084;13.0;31.0;0.99538;3.36;0.54;10.5;6.0
7.5;0.61;0.26;1.9;0.073;24.0;88.0;0.99612;3.3;0.53;9.8;5.0
7.5;0.77;0.2;8.1;0.098;30.0;92.0;0.99892;3.2;0.58;9.2;5.0
7.6;0.36;0.31;1.7;0.079;26.0;65.0;0.99716;3.46;0.62;9.5;6.0
7.6;0.41;0.14;3.0;0.087;21.0;43.0;0.9964;3.32;0.57;10.5;6.0
7.6;0.52;0.12;3.0;0.067;12.0;53.0;0.9971;3.36;0.57;9.1;5.0
7.6;0.63;0.03;2.0;0.08;27.0;43.0;0.99578;3.44;0.64;10.9;6.0
7.6;0.685;0.23;2.3;0.111;20.0;84.0;0.9964;3.21;0.61;9.3;5.0
7.6;0.715;0.0;2.1;0.068;30.0;35.0;0.99533;3.48;0.65;11.4;6.0
7.6;0.74;0.0;1.9;0.1;6.0;12.0;0.99521;3.36;0.59;11.0;5.0
7.7;0.18;0.34;2.7;0.066;15.0;58.0;0.9947;3.37;0.78;11.8;6.0
7.7;0.26;0.26;2.0;0.052;19.0;77.0;0.9951;3.15;0.79;10.9;6.0
7.7;0.27;0.68;3.5;0.358;5.0;10.0;0.9972;3.25;1.08;9.9;7.0
7.7;0.41;0.76;1.8;0.611;8.0;45.0;0.9968;3.06;1.26;9.4;5.0
7.7;0.57;0.21;1.5;0.069;4.0;9.0;0.99458;3.16;0.54;9.8;6.0
7.7;0.66;0.04;1.6;0.039;4.0;9.0;0.9962;3.4;0.47;9.4;5.0
7.7;0.69;0.22;1.9;0.084;18.0;94.0;0.9961;3.31;0.48;9.5;5.0
7.7;0.96;0.2;2.0;0.047;15.0;60.0;0.9955;3.36;0.44;10.9;5.0
7.8;0.32;0.44;2.7;0.104;8.0;17.0;0.99732;3.33;0.78;11.0;7.0
7.8;0.43;0.32;2.8;0.08;29.0;58.0;0.9974;3.31;0.64;10.3;5.0
7.8;0.44;0.28;2.7;0.1;18.0;95.0;0.9966;3.22;0.67;9.4;5.0
7.8;0.53;0.33;2.4;0.08;24.0;144.0;0.99655;3.3;0.6;9.5;5.0
7.8;0.56;0.12;2.0;0.082;7.0;28.0;0.997;3.37;0.5;9.4;6.0
7.8;0.56;0.19;2.0;0.081;17.0;108.0;0.9962;3.32;0.54;9.5;5.0
7.8;0.58;0.13;2.1;0.102;17.0;36.0;0.9944;3.24;0.53;11.2;6.0
7.8;0.62;0.05;2.3;0.079;6.0;18.0;0.99735;3.29;0.63;9.3;5.0
7.9;0.18;0.4;2.2;0.049;38.0;67.0;0.996;3.33;0.93;11.3;5.0
7.9;0.19;0.42;1.6;0.057;18.0;30.0;0.994;3.29;0.69;11.2;6.0
7.9;0.29;0.49;2.2;0.096;21.0;59.0;0.99714;3.31;0.67;10.1;6.0
7.9;0.57;0.31;2.0;0.079;10.0;79.0;0.99677;3.29;0.69;9.5;6.0
7.9;0.58;0.23;2.3;0.076;23.0;94.0;0.99686;3.21;0.58;9.5;6.0
8.0;0.18;0.37;0.9;0.049;36.0;109.0;0.99007;2.89;0.44;12.7;6.0
8.0;0.3;0.63;1.6;0.081;16.0;29.0;0.99588;3.3;0.78;10.8;6.0
8.0;0.39;0.3;1.9;0.074;32.0;84.0;0.99717;3.39;0.61;9.0;5.0
8.0;0.42;0.17;2.0;0.073;6.0;18.0;0.9972;3.29;0.61;9.2;6.0
8.0;0.48;0.34;2.2;0.073;16.0;25.0;0.9936;3.28;0.66;12.4;6.0
8.0;0.59;0.05;2.0;0.089;12.0;32.0;0.99735;3.36;0.61;10.0;5.0
8.0;0.715;0.22;2.3;0.075;13.0;81.0;0.99688;3.24;0.54;9.5;6.0
8.0;0.81;0.25;3.4;0.076;34.0;85.0;0.99668;3.19;0.42;9.2;5.0
8.0;1.18;0.21;1.9;0.083;14.0;41.0;0.99532;3.34;0.47;10.5;5.0
8.1;0.53;0.22;2.2;0.078;33.0;89.0;0.99678;3.26;0.46;9.6;6.0
8.1;0.785;0.52;2.0;0.122;37.0;153.0;0.9969;3.21;0.69;9.3;5.0
8.2;0.33;0.32;2.8;0.067;4.0;12.0;0.99473;3.3;0.76;12.8;7.0
8.2;0.4;0.31;1.9;0.082;8.0;24.0;0.996;3.24;0.69;10.6;6.0
8.2;0.635;0.1;2.1;0.073;25.0;60.0;0.99638;3.29;0.75;10.9;6.0
8.2;0.64;0.27;2.0;0.095;5.0;77.0;0.99747;3.13;0.62;9.1;6.0
8.2;0.74;0.09;2.0;0.067;5.0;10.0;0.99418;3.28;0.57;11.8;6.0
8.2;1.0;0.09;2.3;0.065;7.0;37.0;0.99685;3.32;0.55;9.0;6.0
8.3;0.26;0.37;1.4;0.076;8.0;23.0;0.9974;3.26;0.7;9.6;6.0
8.3;0.53;0.0;1.4;0.07;6.0;14.0;0.99593;3.25;0.64;10.0;6.0
8.3;0.715;0.15;1.8;0.089;10.0;52.0;0.9968;3.23;0.77;9.5;5.0
8.4;0.36;0.32;2.2;0.081;32.0;79.0;0.9964;3.3;0.72;11.0;6.0
8.4;0.37;0.53;1.8;0.413;9.0;26.0;0.9979;3.06;1.06;9.1;6.0
8.4;0.56;0.08;2.1;0.105;16.0;44.0;0.9958;3.13;0.52;11.0;5.0
8.4;0.62;0.09;2.2;0.084;11.0;108.0;0.9964;3.15;0.66;9.8;5.0
8.4;0.62;0.12;1.8;0.072;38.0;46.0;0.99504;3.38;0.89;11.8;6.0
8.4;0.745;0.11;1.9;0.09;16.0;63.0;0.9965;3.19;0.82;9.6;5.0
8.5;0.47;0.27;1.9;0.058;18.0;38.0;0.99518;3.16;0.85;11.1;6.0
8.5;0.49;0.11;2.3;0.084;9.0;67.0;0.9968;3.17;0.53;9.4;5.0
8.6;0.47;0.3;3.0;0.076;30.0;135.0;0.9976;3.3;0.53;9.4;5.0
8.6;0.52;0.38;1.5;0.096;5.0;18.0;0.99666;3.2;0.52;9.4;5.0
8.6;0.635;0.68;1.8;0.403;19.0;56.0;0.99632;3.02;1.15;9.3;5.0
8.6;0.83;0.0;2.8;0.095;17.0;43.0;0.99822;3.33;0.6;10.4;6.0
8.7;0.29;0.52;1.6;0.113;12.0;37.0;0.9969;3.25;0.58;9.5;5.0
8.7;0.54;0.26;2.5;0.097;7.0;31.0;0.9976;3.27;0.6;9.3;6.0
8.7;0.69;0.0;3.2;0.084;13.0;33.0;0.9992;3.36;0.45;9.4;5.0
8.7;0.78;0.51;1.7;0.415;12.0;66.0;0.99623;3.0;1.17;9.2;5.0
8.8;0.41;0.64;2.2;0.093;9.0;42.0;0.9986;3.54;0.66;10.5;5.0
8.8;0.6;0.29;2.2;0.098;5.0;15.0;0.9988;3.36;0.49;9.1;5.0
8.8;0.61;0.14;2.4;0.067;10.0;42.0;0.9969;3.19;0.59;9.5;5.0
8.8;0.7;0.0;1.7;0.069;8.0;19.0;0.99701;3.31;0.53;10.0;6.0
8.9;0.12;0.45;1.8;0.075;10.0;21.0;0.99552;3.41;0.76;11.9;7.0
8.9;0.38;0.4;2.2;0.068;12.0;28.0;0.99486;3.27;0.75;12.6;7.0
8.9;0.59;0.5;2.0;0.337;27.0;81.0;0.9964;3.04;1.61;9.5;6.0
9.0;0.4;0.43;2.4;0.068;29.0;46.0;0.9943;3.2;0.6;12.2;6.0
9.0;0.58;0.25;2.0;0.104;8.0;21.0;0.99769;3.27;0.72;9.6;5.0
9.0;0.6;0.29;2.0;0.069;32.0;73.0;0.99654;3.34;0.57;10.0;5.0
9.0;0.82;0.14;2.6;0.089;9.0;23.0;0.9984;3.39;0.63;9.8;5.0
9.1;0.5;0.3;1.9;0.065;8.0;17.0;0.99774;3.32;0.71;10.5;6.0
9.1;0.52;0.33;1.3;0.07;9.0;30.0;0.9978;3.24;0.6;9.3;5.0
9.1;0.76;0.68;1.7;0.414;18.0;64.0;0.99652;2.9;1.33;9.1;6.0
9.1;0.765;0.04;1.6;0.078;4.0;14.0;0.998;3.29;0.54;9.7;4.0
9.1;0.795;0.0;2.6;0.096;11.0;26.0;0.9994;3.35;0.83;9.4;6.0
9.2;0.36;0.34;1.6;0.062;5.0;12.0;0.99667;3.2;0.67;10.5;6.0
9.2;0.46;0.23;2.6;0.091;18.0;77.0;0.99922;3.15;0.51;9.4;5.0
9.2;0.52;1.0;3.4;0.61;32.0;69.0;0.9996;2.74;2.0;9.4;4.0
9.2;0.58;0.2;3.0;0.081;15.0;115.0;0.998;3.23;0.59;9.5;5.0
9.3;0.36;0.39;1.5;0.08;41.0;55.0;0.99652;3.47;0.73;10.9;6.0
9.3;0.48;0.29;2.1;0.127;6.0;16.0;0.9968;3.22;0.72;11.2;5.0
9.3;0.5;0.36;1.8;0.084;6.0;17.0;0.99704;3.27;0.77;10.8;6.0
9.3;0.655;0.26;2.0;0.096;5.0;35.0;0.99738;3.25;0.42;9.6;5.0
9.5;0.37;0.52;2.0;0.088;12.0;51.0;0.99613;3.29;0.58;11.1;6.0
9.5;0.57;0.27;2.3;0.082;23.0;144.0;0.99782;3.27;0.55;9.4;5.0
9.5;0.59;0.44;2.3;0.071;21.0;68.0;0.9992;3.46;0.63;9.5;5.0
9.6;0.42;0.35;2.1;0.083;17.0;38.0;0.99622;3.23;0.66;11.1;6.0
9.6;0.68;0.24;2.2;0.087;5.0;28.0;0.9988;3.14;0.6;10.2;5.0
9.6;0.77;0.12;2.9;0.082;30.0;74.0;0.99865;3.3;0.64;10.4;6.0
9.7;0.32;0.54;2.5;0.094;28.0;83.0;0.9984;3.28;0.82;9.6;5.0
9.8;0.37;0.39;2.5;0.079;28.0;65.0;0.99729;3.16;0.59;9.8;5.0
9.8;0.39;0.43;1.65;0.068;5.0;11.0;0.99478;3.19;0.46;11.4;5.0
9.8;0.5;0.34;2.3;0.094;10.0;45.0;0.99864;3.24;0.6;9.7;7.0
9.8;0.66;0.39;3.2;0.083;21.0;59.0;0.9989;3.37;0.71;11.5;7.0
9.9;0.32;0.56;2.0;0.073;3.0;8.0;0.99534;3.15;0.73;11.4;6.0
9.9;0.74;0.19;5.8;0.111;33.0;76.0;0.99878;3.14;0.55;9.4;5.0
10.0;0.35;0.47;2.0;0.061;6.0;11.0;0.99585;3.23;0.52;12.0;6.0
10.0;0.41;0.45;6.2;0.071;6.0;14.0;0.99702;3.21;0.49;11.8;7.0
10.0;0.49;0.2;11.0;0.071;13.0;50.0;1.0015;3.16;0.69;9.2;6.0
10.0;0.49;0.2;11.0;0.071;13.0;50.0;1.0015;3.16;0.69;9.2;6.0
10.2;0.29;0.65;2.4;0.075;6.0;17.0;0.99565;3.22;0.63;11.8;6.0
10.2;0.33;0.46;1.9;0.081;6.0;9.0;0.99628;3.1;0.48;10.4;6.0
10.2;0.36;0.64;2.9;0.122;10.0;41.0;0.998;3.23;0.66;12.5;6.0
10.2;0.41;0.43;2.2;0.11;11.0;37.0;0.99728;3.16;0.67;10.8;5.0
10.3;0.41;0.42;2.4;0.213;6.0;14.0;0.9994;3.19;0.62;9.5;6.0
10.3;0.43;0.44;2.4;0.214;5.0;12.0;0.9994;3.19;0.63;9.5;6.0
10.3;0.44;0.5;4.5;0.107;5.0;13.0;0.998;3.28;0.83;11.5;5.0
10.3;0.5;0.42;2.0;0.069;21.0;51.0;0.9982;3.16;0.72;11.5;6.0
10.3;0.53;0.48;2.5;0.063;6.0;25.0;0.9998;3.12;0.59;9.3;6.0
10.4;0.26;0.48;1.9;0.066;6.0;10.0;0.99724;3.33;0.87;10.9;6.0
10.4;0.33;0.63;2.8;0.084;5.0;22.0;0.9998;3.26;0.74;11.2;7.0
10.4;0.41;0.55;3.2;0.076;22.0;54.0;0.9996;3.15;0.89;9.9;6.0
10.4;0.41;0.55;3.2;0.076;22.0;54.0;0.9996;3.15;0.89;9.9;6.0
10.4;0.55;0.23;2.7;0.091;18.0;48.0;0.9994;3.22;0.64;10.3;6.0
10.5;0.24;0.47;2.1;0.066;6.0;24.0;0.9978;3.15;0.9;11.0;7.0
10.5;0.28;0.51;1.7;0.08;10.0;24.0;0.9982;3.2;0.89;9.4;6.0
10.8;0.4;0.41;2.2;0.084;7.0;17.0;0.9984;3.08;0.67;9.3;6.0
10.8;0.5;0.46;2.5;0.073;5.0;27.0;1.0001;3.05;0.64;9.5;5.0
10.9;0.32;0.52;1.8;0.132;17.0;44.0;0.99734;3.28;0.77;11.5;6.0
11.3;0.37;0.5;1.8;0.09;20.0;47.0;0.99734;3.15;0.57;10.5;5.0
11.4;0.36;0.69;2.1;0.09;6.0;21.0;1.0;3.17;0.62;9.2;6.0
12.0;0.39;0.66;3.0;0.093;12.0;30.0;0.9996;3.18;0.63;10.8;7.0
12.0;0.45;0.55;2.0;0.073;25.0;49.0;0.9997;3.1;0.76;10.3;6.0
12.2;0.45;0.49;1.4;0.075;3.0;6.0;0.9969;3.13;0.63;10.4;5.0
12.4;0.4;0.51;2.0;0.059;6.0;24.0;0.9994;3.04;0.6;9.3;6.0
12.4;0.49;0.58;3.0;0.103;28.0;99.0;1.0008;3.16;1.0;11.5;6.0
12.5;0.38;0.6;2.6;0.081;31.0;72.0;0.9996;3.1;0.73;10.5;5.0
12.6;0.38;0.66;2.6;0.088;10.0;41.0;1.001;3.17;0.68;9.8;6.0
12.7;0.59;0.45;2.3;0.082;11.0;22.0;1.0;3.0;0.7;9.3;6.0
12.8;0.3;0.74;2.6;0.095;9.0;28.0;0.9994;3.2;0.77;10.8;7.0
13.0;0.32;0.65;2.6;0.093;15.0;47.0;0.9996;3.05;0.61;10.6;5.0
13.2;0.38;0.55;2.7;0.081;5.0;16.0;1.0006;2.98;0.54;9.4;5.0
13.2;0.46;0.52;2.2;0.071;12.0;35.0;1.0006;3.1;0.56;9.0;6.0
